,ABCB4,ABEV3,AGRO3,ALOS3,ALPA4,ALUP11,AMOB3,ANIM3,ARML3,ASAI3,AUAU3,AURE3,AXIA3,AXIA6,AXIA7,AZZA3,B3SA3,BBAS3,BBDC3,BBDC4,BBSE3,BEEF3,BHIA3,BLAU3,BMOB3,BPAC11,BRAP4,BRAV3,BRBI11,BRKM5,BRSR6,CAML3,CASH3,CBAV3,CEAB3,CMIG4,CMIN3,COGN3,CPFE3,CPLE3,CSAN3,CSMG3,CSNA3,CURY3,CVCB3,CXSE3,CYRE3,CYRE4,DESK3,DIRR3,DXCO3,ECOR3,EGIE3,EMBJ3,ENEV3,ENGI11,EQTL3,EVEN3,EZTC3,FESA4,FLRY3,FRAS3,GFSA3,GGBR4,GGPS3,GMAT3,GOAU4,GRND3,GUAR3,HAPV3,HBOR3,HBSA3,HYPE3,IGTI11,INTB3,IRBR3,ISAE4,ITSA4,ITUB4,JHSF3,JSLG3,KEPL3,KLBN11,LAVV3,LEVE3,LJQQ3,LOGG3,LREN3,LWSA3,MBRF3,MDIA3,MDNE3,MGLU3,MILS3,MOTV3,MOVI3,MRVE3,MULT3,MYPK3,NATU3,ODPV3,ONCO3,ORVR3,PCAR3,PETR3,PETR4,PGMN3,PLPL3,PNVL3,POMO4,POSI3,PRIO3,PRNR3,PSSA3,QUAL3,RADL3,RAIL3,RAIZ4,RANI3,RAPT4,RCSL3,RCSL4,RDOR3,RECV3,RENT3,RENT4,SANB11,SAPR11,SBFG3,SBSP3,SEER3,SIMH3,SLCE3,SMFT3,SMTO3,SOJA3,SUZB3,SYNE3,TAEE11,TEND3,TFCO4,TGMA3,TIMS3,TOTS3,TTEN3,TUPY3,UGPA3,UNIP6,USIM5,VALE3,VAMO3,VBBR3,VIVA3,VIVT3,VLID3,VULC3,WEGE3,YDUQ3,IBOV,SELIC
2002-01-01,,0.651955246925354,,,,,,,,,,,7.5388689041137695,,,,,0.5709457397460938,0.8490083813667297,,,,48.01313400268555,,,,0.3215213119983673,,,1738.892822265625,,,,,,1923.19873046875,,,0.13664385676383972,0.5264295935630798,,,0.7949541807174683,,,,0.260503888130188,,,,,,,,,,,,,0.08445806801319122,,,,824.0918579101562,,,0.24161715805530548,,0.2863701581954956,,,,,,,,0.02034134231507778,0.3245353400707245,1.135188341140747,,,3.860436201095581,,,0.6231236457824707,,,4547.89208984375,,,,,,,,,,,0.35197821259498596,,,,,2.7251956462860107,1.5872746706008911,1.2203329801559448,,,0.2191775143146515,0.13694342970848083,,,,,,0.026971828192472458,,,0.00020065924036316574,0.20995628833770752,648.3998413085938,2438.034423828125,,,,,,,,2.4978268146514893,,,,,,,,0.05092316120862961,,,,,,,,3.7840802669525146,,0.7602333426475525,0.9842613935470581,1.594011902809143,,,,3.289803981781006,,2453.501953125,0.19077637791633606,,,
2002-01-02,,0.6473858952522278,,,,,,,,,,,7.357756614685059,,,,,0.5811891555786133,0.8490083813667297,,,,48.01313400268555,,,,0.3337307870388031,,,1800.93212890625,,,,,,2004.788330078125,,,0.13664385676383972,0.5547501444816589,,,0.7982192039489746,,,,0.260503888130188,,,,,,,,,,,,,0.08445806801319122,,,,854.9318237304688,,,0.2852573096752167,,0.2863701581954956,,,,,,,,0.02093593217432499,0.3200484812259674,1.186854362487793,,,3.860436201095581,,,0.6231236457824707,,,4547.89208984375,,,,,,,,,,,0.35197821259498596,,,,,2.7251956462860107,1.6057201623916626,1.2227191925048828,,,0.2191775143146515,0.13694342970848083,,,,,,0.026971828192472458,,,0.00020065924036316574,0.21328847110271454,648.3998413085938,2438.034423828125,,,,,,,,2.4978268146514893,,,,,,,,0.05092316120862961,,,,,,,,3.7840802669525146,,0.7825927734375,1.0054280757904053,1.5633575916290283,,,,3.1605100631713867,,2453.501953125,0.19077637791633606,,13872.0,1.3759919029624632
2002-01-03,,0.6550017595291138,,,,,,,,,,,7.618104934692383,,,,,0.5903549194335938,0.855472207069397,,,,48.01313400268555,,,,0.3337307870388031,,,1894.08349609375,,,,,,2086.37890625,,,0.13664385676383972,0.5720757246017456,,,0.8031162619590759,,,,0.260503888130188,,,,,,,,,,,,,0.08326852321624756,,,,908.8461303710938,,,0.29683297872543335,,0.2863701581954956,,,,,,,,0.021718306466937065,0.32902172207832336,1.1738898754119873,,,3.860436201095581,,,0.6231236457824707,,,4547.89208984375,,,,,,,,,,,0.35197821259498596,,,,,2.7251956462860107,1.6311215162277222,1.2310689687728882,,,0.21413858234882355,0.13102605938911438,,,,,,0.026971828192472458,,,0.00020065924036316574,0.20329049229621887,648.3998413085938,2438.034423828125,,,,,,,,2.567868232727051,,,,,,,,0.05092316120862961,,,,,,,,3.7840802669525146,,0.8049525618553162,1.043226718902588,1.5878814458847046,,,,3.3315963745117188,,2453.501953125,0.19077637791633606,,14265.0,1.3769429558628972
2002-01-04,,0.6550017595291138,,,,,,,,,,,7.765261650085449,,,,,0.5768762826919556,0.8522409200668335,,,,48.01313400268555,,,,0.3378007113933563,,,1894.0216064453125,,,,,,2068.312255859375,,,0.13664385676383972,0.5680776238441467,,,0.8276015520095825,,,,0.2539912164211273,,,,,,,,,,,,,0.0826735645532608,,,,924.2503662109375,,,0.311715692281723,,0.2863701581954956,,,,,,,,0.02128017693758011,0.32902172207832336,1.1546028852462769,,,3.860436201095581,,,0.6231236457824707,,,4547.89208984375,,,,,,,,,,,0.35197821259498596,,,,,2.7251956462860107,1.6042085886001587,1.2234348058700562,,,0.21413858234882355,0.13313928246498108,,,,,,0.026971828192472458,,,0.00020065924036316574,0.20329049229621887,648.3998413085938,2438.034423828125,,,,,,,,2.6304566860198975,,,,,,,,0.04965009167790413,,,,,,,,3.7840802669525146,,0.8049525618553162,1.0507858991622925,1.621600866317749,,,,3.3276772499084473,,2453.501953125,0.19077637791633606,,14332.0,1.3778946036671467
2002-01-07,,0.677851140499115,,,,,,,,,,,7.8784589767456055,,,,,0.5639371275901794,0.855472207069397,,,,48.01313400268555,,,,0.32966089248657227,,,1863.156982421875,,,,,,2051.41162109375,,,0.13664385676383972,0.5597478151321411,,,0.829233705997467,,,,0.2539912164211273,,,,,,,,,,,,,0.08445806801319122,,,,939.655029296875,,,0.3118811547756195,,0.2863701581954956,,,,,,,,0.021061116829514503,0.3275262117385864,1.1417678594589233,,,3.860436201095581,,,0.6231236457824707,,,4547.89208984375,,,,,,,,,,,0.35197821259498596,,,,,2.7251956462860107,1.6268885135650635,1.2501558065414429,,,0.21413858234882355,0.13102605938911438,,,,,,0.026971828192472458,,,0.00020065924036316574,0.20329049229621887,342.2110290527344,2438.034423828125,,,,,,,,2.5923492908477783,,,,,,,,0.04965009167790413,,,,,,,,3.7840802669525146,,0.8273125290870667,1.0568337440490723,1.621600866317749,,,,3.2388710975646973,,2453.501953125,0.19077637791633606,,14379.0,1.3788474412790284
2002-01-08,,0.6626201272010803,,,,,,,,,,,7.923736095428467,,,,,0.5612412095069885,0.855472207069397,,,,48.01313400268555,,,,0.325591117143631,,,1869.2431640625,,,,,,2025.1859130859375,,,0.13664385676383972,0.5530843734741211,,,0.829233705997467,,,,0.2539912164211273,,,,,,,,,,,,,0.08445806801319122,,,,955.058837890625,,,0.31502312421798706,,0.2863701581954956,,,,,,,,0.020497824996709824,0.33350828289985657,1.1610543727874756,,,3.860436201095581,,,0.6231236457824707,,,4547.89208984375,,,,,,,,,,,0.3160618841648102,,,,,2.7251956462860107,1.6147922277450562,1.23464834690094,,,0.21413858234882355,0.1289127618074417,,,,,,0.026971828192472458,,,0.00020065924036316574,0.20329049229621887,342.2110290527344,2438.034423828125,,,,,,,,2.5206069946289062,,,,,,,,0.04965009167790413,,,,,,,,3.7840802669525146,,0.8049525618553162,1.0341556072235107,1.6246659755706787,,,,3.186629056930542,,2453.501953125,0.19077637791633606,,14168.0,1.3798010720959977
2002-01-09,,0.6550017595291138,,,,,,,,,,,7.722247123718262,,,,,0.5714846253395081,0.855472207069397,,,,48.01313400268555,,,,0.3215213119983673,,,2080.386962890625,,,,,,1982.059814453125,,,0.13664385676383972,0.5410897731781006,,,0.8406600952148438,,,,0.2539912164211273,,,,,,,,,,,,,0.08326852321624756,,,,1008.973876953125,,,0.3356940746307373,,0.2863701581954956,,,,,,,,0.02074817754328251,0.33649975061416626,1.1546028852462769,,,3.860436201095581,,,0.6231236457824707,,,4547.89208984375,,,,,,,,,,,0.3160618841648102,,,,,2.7251956462860107,1.5996729135513306,1.2215262651443481,,,0.21413858234882355,0.13313928246498108,,,,,,0.026971828192472458,,,0.00020065924036316574,0.1966254711151123,342.2110290527344,2438.034423828125,,,,,,,,2.5169873237609863,,,,,,,,0.04965009167790413,,,,,,,,3.7840802669525146,,0.8273125290870667,1.0417145490646362,1.6246659755706787,,,,3.1605100631713867,,2453.501953125,0.19077637791633606,,14021.0,1.380754702912967
2002-01-10,,0.6550017595291138,,,,,,,,,,,7.040805339813232,,,,,0.545067310333252,0.8242272138595581,,,,48.01313400268555,,,,0.30931150913238525,,,1993.4454345703125,,,,,,1838.6944580078125,,,0.13664385676383972,0.5014407634735107,,,0.8798364400863647,,,,0.2539912164211273,,,,,,,,,,,,,0.0820789560675621,,,,1008.973876953125,,,0.3323867619037628,,0.2863701581954956,,,,,,,,0.02034134231507778,0.3275262117385864,1.135252594947815,,,3.860436201095581,,,0.6231236457824707,,,4547.89208984375,,,,,,,,,,,0.3160618841648102,,,,,2.7251956462860107,1.5966484546661377,1.2119826078414917,,,0.2216964215040207,0.13440731167793274,,,,,,0.026971828192472458,,,0.00020065924036316574,0.20662330090999603,342.2110290527344,2438.034423828125,,,,,,,,2.467597246170044,,,,,,,,0.04965009167790413,,,,,,,,3.7840802669525146,,0.8049525618553162,1.008452296257019,1.6553199291229248,,,,3.147451877593994,,2453.501953125,0.19077637791633606,,13570.0,1.3817095235375687
2002-01-11,,0.6580477356910706,,,,,,,,,,,7.043071269989014,,,,,0.5580064058303833,0.844698965549469,,,,48.01313400268555,,,,0.3215213119983673,,,1987.2349853515625,,,,,,1835.1973876953125,,,0.13664385676383972,0.5197659134864807,,,0.9141159653663635,,,,0.2539912164211273,,,,,,,,,,,,,0.0837443619966507,,,,1032.0799560546875,,,0.34726980328559875,,0.2863701581954956,,,,,,,,0.02124888263642788,0.32902172207832336,1.1294467449188232,,,3.860436201095581,,,0.6231236457824707,,,4547.89208984375,,,,,,,,,,,0.3160618841648102,,,,,2.7251956462860107,1.5603612661361694,1.197668194770813,,,0.21413858234882355,0.13482972979545593,,,,,,0.026971828192472458,,,0.00020065924036316574,0.20329049229621887,342.2110290527344,2438.034423828125,,,,,,,,2.4405605792999268,,,,,,,,0.04965009167790413,,,,,,,,3.7840802669525146,,0.834765613079071,1.0160119533538818,1.6491897106170654,,,,3.1996912956237793,,2453.501953125,0.19077637791633606,,13587.0,1.382665137367258
2002-01-14,,0.6412935853004456,,,,,,,,,,,6.678577423095703,,,,,0.5520758032798767,0.855472207069397,,,,48.01313400268555,,,,0.30931150913238525,,,2049.33642578125,,,,,,1765.8458251953125,,,0.13664385676383972,0.4831158518791199,,,0.9402337074279785,,,,0.2539912164211273,,,,,,,,,,,,,0.0837443619966507,,,,1024.377685546875,,,0.3431353271007538,,0.2863701581954956,,,,,,,,0.02065429277718067,0.3245353400707245,1.1155787706375122,,,3.860436201095581,,,0.6231236457824707,,,4547.89208984375,,,,,,,,,,,0.3160618841648102,,,,,2.7251956462860107,1.49685800075531,1.1547240018844604,,,0.21413858234882355,0.13313928246498108,,,,,,0.026971828192472458,,,0.00020065924036316574,0.21662132441997528,342.2110290527344,1347.6572265625,,,,,,,,2.346463441848755,,,,,,,,0.04965009167790413,,,,,,,,3.7840802669525146,,0.8124058842658997,0.9918208122253418,1.57868492603302,,,,3.0181565284729004,,2453.501953125,0.19077637791633606,,13122.0,1.3836207511969474
