,SELIC
2000-01-03,0.0
2000-01-04,0.0006831478819837
2000-01-05,0.0006820870118702
2000-01-06,0.0006820181479405
2000-01-07,0.0006821470037678
2000-01-10,0.0006820775183373
2000-01-11,0.0006822054841653
2000-01-12,0.0006827278542498
2000-01-13,0.0006820646982574
2000-01-14,0.0006817970252586
2000-01-17,0.0006823179337474
2000-01-18,0.0006820496468329
2000-01-19,0.0006813879530136
2000-01-20,0.000679940553881
2000-01-21,0.0006794785488601
2000-01-24,0.0006823562779723
2000-01-25,0.000682676121803
2000-01-26,0.0006827988436552
2000-01-27,0.0006811568493505
2000-01-28,0.000680105541724
2000-01-31,0.0006802305619466
2000-02-01,0.0006797681628674
2000-02-02,0.0006808702628398
2000-02-03,0.0006806023447962
2000-02-04,0.0006805298762571
2000-02-07,0.0006812375816067
2000-02-08,0.0006801889556729
2000-02-09,0.0006810903524019
2000-02-10,0.0006800427221802
2000-02-11,0.00068094246328
2000-02-14,0.000680479096168
2000-02-15,0.0006804049400275
2000-02-16,0.0006809130953353
2000-02-17,0.0006816139251804
2000-02-18,0.0006803740680727
2000-02-21,0.0006818490956925
2000-02-22,0.0006833207957812
2000-02-23,0.0006824671914589
2000-02-24,0.0006823884795652
2000-02-25,0.0006823096112709
2000-02-28,0.0006818443822955
2000-02-29,0.0006813797873153
2000-03-01,0.0006826513793896
2000-03-02,0.0006821856843912
2000-03-03,0.0006824909301306
2000-03-08,0.0006820254539443
2000-03-09,0.0006823298680285
2000-03-10,0.0006824411598693
2000-03-13,0.0006825519067858
2000-03-14,0.0006824701889498
2000-03-15,0.0006831554802035
2000-03-16,0.0006832640741858
2000-03-17,0.0006831805992797
2000-03-20,0.0006825227848921
2000-03-21,0.0006824397987874
2000-03-22,0.0006829300739237
2000-03-23,0.0006767338224231
2000-03-24,0.0006808572043739
2000-03-27,0.0006834459025768
2000-03-28,0.0006833603564071
2000-03-29,0.0006825127211571
2000-03-30,0.0006706258273367
2000-03-31,0.000669795931955
2000-04-03,0.0006695377072154
2000-04-04,0.0006687097776767
2000-04-05,0.000669212140818
2000-04-06,0.0006702823590523
2000-04-07,0.0006709709417822
2000-04-10,0.0006703315754024
2000-04-11,0.0006702612106395
2000-04-12,0.0006703798989717
2000-04-13,0.0006708762195557
2000-04-14,0.0006717491592271
2000-04-17,0.0006729977043677
2000-04-18,0.0006732999035905
2000-04-19,0.000673035454014
2000-04-20,0.0006714520740012
2000-04-24,0.00067288477738
2000-04-25,0.0006728087043945
2000-04-26,0.0006727324806037
2000-04-27,0.0006728440516639
2000-04-28,0.0006727672747366
2000-05-02,0.0006728780410896
2000-05-03,0.0006733634127333
